period,year,month,count
2021-04,2021,04,605
2021-03,2021,03,899
2021-02,2021,02,928
2021-01,2021,01,1041
2020-12,2020,12,1008
2020-11,2020,11,1078
2020-10,2020,10,1052
2020-09,2020,09,1010
2020-08,2020,08,938
2020-07,2020,07,906
2020-06,2020,06,933
2020-05,2020,05,939
2020-04,2020,04,948
2020-03,2020,03,1041
2020-02,2020,02,1059
2020-01,2020,01,1170
2019-12,2019,12,1145
2019-11,2019,11,1100
2019-10,2019,10,1110
2019-09,2019,09,1123
2019-08,2019,08,1061
2019-07,2019,07,1038
2019-06,2019,06,1012
2019-05,2019,05,1103
2019-04,2019,04,1086
2019-03,2019,03,1178
2019-02,2019,02,981
2019-01,2019,01,1072
2018-12,2018,12,1102
2018-11,2018,11,1051
2018-10,2018,10,1052
2018-09,2018,09,1043
2018-08,2018,08,1002
2018-07,2018,07,986
2018-06,2018,06,925
2018-05,2018,05,1014
2018-04,2018,04,1030
2018-03,2018,03,1091
2018-02,2018,02,927
2018-01,2018,01,1039
2017-12,2017,12,1046
2017-11,2017,11,1011
2017-10,2017,10,1148
2017-09,2017,09,1073
2017-08,2017,08,1017
2017-07,2017,07,885
2017-06,2017,06,878
2017-05,2017,05,976
2017-04,2017,04,873
2017-03,2017,03,1003
2017-02,2017,02,914
2017-01,2017,01,996
2016-12,2016,12,998
2016-11,2016,11,965
2016-10,2016,10,973
2016-09,2016,09,898
2016-08,2016,08,860
2016-07,2016,07,867
2016-06,2016,06,819
2016-05,2016,05,866
2016-04,2016,04,847
