gender,age,count
Mulher,1,1
Mulher,5,1
Homem,7,1
Homem,8,4
Homem,9,6
Mulher,9,1
Homem,10,10
Mulher,10,5
Homem,11,23
Mulher,11,8
Homem,12,45
Mulher,12,31
Homem,13,83
Mulher,13,89
Homem,14,139
Mulher,14,178
Homem,15,267
Mulher,15,217
Homem,16,360
Mulher,16,250
Homem,17,576
Mulher,17,280
Homem,18,675
Mulher,18,242
Homem,19,845
Mulher,19,256
Homem,20,933
Mulher,20,231
Homem,21,992
Mulher,21,258
Homem,22,973
Mulher,22,264
Homem,23,987
Mulher,23,241
Homem,24,959
Mulher,24,282
Homem,25,998
Mulher,25,223
Homem,26,967
Mulher,26,229
Homem,27,898
Mulher,27,228
Homem,28,979
Mulher,28,212
Homem,29,959
Mulher,29,240
Homem,30,973
Mulher,30,233
Homem,31,989
Mulher,31,236
Homem,32,945
Mulher,32,277
Homem,33,1014
Mulher,33,229
Homem,34,950
Mulher,34,236
Homem,35,991
Mulher,35,247
Homem,36,929
Mulher,36,268
Homem,37,1014
Mulher,37,270
Homem,38,1031
Mulher,38,268
Homem,39,1012
Mulher,39,248
Homem,40,969
Mulher,40,242
Homem,41,954
Mulher,41,243
Homem,42,909
Mulher,42,227
Homem,43,861
Mulher,43,231
Homem,44,841
Mulher,44,228
Homem,45,858
Mulher,45,226
Homem,46,828
Mulher,46,244
Homem,47,834
Mulher,47,265
Homem,48,810
Mulher,48,244
Homem,49,787
Mulher,49,216
Homem,50,783
Mulher,50,250
Homem,51,771
Mulher,51,232
Homem,52,756
Mulher,52,209
Homem,53,772
Mulher,53,224
Homem,54,753
Mulher,54,202
Homem,55,737
Mulher,55,211
Homem,56,725
Mulher,56,168
Homem,57,693
Mulher,57,167
Homem,58,681
Mulher,58,171
Homem,59,656
Mulher,59,158
Homem,60,643
Mulher,60,165
Homem,61,537
Mulher,61,132
Homem,62,549
Mulher,62,152
Homem,63,528
Mulher,63,155
Homem,64,491
Mulher,64,129
Homem,65,442
Mulher,65,93
Homem,66,444
Mulher,66,119
Homem,67,458
Mulher,67,112
Homem,68,433
Mulher,68,105
Homem,69,405
Mulher,69,105
Homem,70,393
Mulher,70,84
Homem,71,360
Mulher,71,86
Homem,72,347
Mulher,72,73
Homem,73,330
Mulher,73,68
Homem,74,297
Mulher,74,59
Homem,75,269
Mulher,75,61
Homem,76,275
Mulher,76,46
Homem,77,216
Mulher,77,44
Homem,78,213
Mulher,78,51
Homem,79,216
Mulher,79,46
Homem,80,190
Mulher,80,29
Homem,81,156
Mulher,81,14
Homem,82,140
Mulher,82,34
Homem,83,114
Mulher,83,20
Homem,84,118
Mulher,84,33
Homem,85,104
Mulher,85,18
Homem,86,78
Mulher,86,10
Homem,87,68
Mulher,87,10
Homem,88,71
Mulher,88,5
Homem,89,50
Mulher,89,5
Homem,90,42
Mulher,90,10
Homem,91,40
Mulher,91,6
Homem,92,24
Mulher,92,5
Homem,93,26
Mulher,93,4
Homem,94,12
Homem,95,15
Mulher,95,2
Homem,96,11
Mulher,96,2
Homem,97,7
Mulher,97,1
Homem,98,3
Mulher,98,1
Homem,99,2
Homem,100,1
Mulher,100,1
